# r/Å   V/K
0.529177 119279.503882
0.793766 60102.588470
1.058354 32500.740853
1.322943 17224.354065
1.587532 8836.953442
1.852120 4379.520344
2.116709 2090.412134
2.381297 955.888939
2.645886 414.532736
2.910475 166.808796
3.175063 58.908781
3.439652 14.894161
3.704240 -1.258995
3.968829 -5.971938
4.233418 -6.383077
4.498006 -5.441435
4.762595 -4.268331
5.027184 -3.235431
5.291772 -2.423258
5.556361 -1.813812
5.820949 -1.365095
6.085538 -1.036058
6.350127 -0.794174
6.614715 -0.615130
6.879304 -0.481241
7.143892 -0.380193
7.408481 -0.303144
7.673070 -0.243778
7.937658 -0.197359
8.202247 -0.161045
8.466835 -0.132626
8.731424 -0.109574
8.996013 -0.091259
9.260601 -0.076418
9.525190 -0.064102
9.789778 -0.054313
10.054367 -0.046103
10.318956 -0.039472
10.583544 -0.033788
