   r         Lagrange      Neville       pogreska     CubicSpline    Neville-spline
2.810000    238.320153    238.320153     -0.001097     238.189181          0.130972
2.910000    167.096792    167.096792     -0.000004     167.096690          0.000102
3.010000    115.111993    115.111993      0.000476     114.978578          0.133415
3.110000     77.481745     77.481745      0.000244      77.383257          0.098488
3.210000     50.501885     50.501885     -0.000098      50.505691         -0.003806
3.310000     31.375347     31.375347     -0.000171      31.325183          0.050165
3.410000     17.998469     17.998469     -0.000042      17.985894          0.012575
3.510000      8.797437      8.797437      0.000067       8.782023          0.015414
3.610000      2.603151      2.603151      0.000060       2.574339          0.028812
3.710000     -1.445978     -1.445978     -0.000003      -1.445250         -0.000727
3.810000     -3.980284     -3.980284     -0.000037      -3.989655          0.009372
3.910000     -5.458188     -5.458188     -0.000020      -5.465300          0.007112
4.010000     -6.211280     -6.211280      0.000012      -6.211820          0.000540
4.110000     -6.477779     -6.477779      0.000020      -6.483720          0.005941
4.210000     -6.427127     -6.427127      0.000004      -6.428259          0.001132
4.310000     -6.178272     -6.178272     -0.000011      -6.179210          0.000938
4.410000     -5.813465     -5.813465     -0.000010      -5.815413          0.001948
4.510000     -5.388703     -5.388703      0.000001      -5.388618         -0.000085
4.610000     -4.941462     -4.941462      0.000009      -4.942220          0.000757
4.710000     -4.496228     -4.496228      0.000005      -4.496711          0.000483
4.810000     -4.068347     -4.068347     -0.000004      -4.068358          0.000011
4.910000     -3.666745     -3.666745     -0.000006      -3.667071          0.000326
5.010000     -3.295911     -3.295911     -0.000001      -3.295962          0.000050
5.110000     -2.957402     -2.957402      0.000005      -2.957399         -0.000003
5.210000     -2.650946     -2.650946      0.000005      -2.650990          0.000044
5.310000     -2.375202     -2.375202     -0.000001      -2.375198         -0.000004
5.410000     -2.128221     -2.128221     -0.000005      -2.128236          0.000015
5.510000     -1.907724     -1.907724     -0.000003      -1.907739          0.000015
5.610000     -1.711290     -1.711290      0.000003      -1.711265         -0.000024
5.710000     -1.536494     -1.536494      0.000006      -1.536456         -0.000038
5.810000     -1.381034     -1.381034      0.000001      -1.381032         -0.000002
5.910000     -1.242791     -1.242791     -0.000006      -1.242780         -0.000012
6.010000     -1.119847     -1.119847     -0.000005      -1.119837         -0.000010
6.110000     -1.010467     -1.010467      0.000002      -1.010463         -0.000004
6.210000     -0.913086     -0.913086      0.000008      -0.913058         -0.000028
6.310000     -0.826302     -0.826302      0.000004      -0.826291         -0.000011
6.410000     -0.748878     -0.748878     -0.000007      -0.748880          0.000001
6.510000     -0.679727     -0.679727     -0.000012      -0.679727         -0.000000
6.610000     -0.617881     -0.617881     -0.000001      -0.617882          0.000001
6.710000     -0.562471     -0.562471      0.000017      -0.562440         -0.000030
6.810000     -0.512731     -0.512731      0.000017      -0.512703         -0.000028
6.910000     -0.468016     -0.468016     -0.000010      -0.468028          0.000012
7.010000     -0.427799     -0.427799     -0.000037      -0.427834          0.000035
7.110000     -0.391619     -0.391619     -0.000018      -0.391638          0.000018
7.210000     -0.359020     -0.359020      0.000044      -0.358972         -0.000048
7.310000     -0.329534     -0.329534      0.000076      -0.329454         -0.000079
7.410000     -0.302756     -0.302756     -0.000002      -0.302758          0.000002
7.510000     -0.278442     -0.278442     -0.000145      -0.278567          0.000125
7.610000     -0.256483     -0.256483     -0.000149      -0.256604          0.000121
7.710000     -0.236709     -0.236709      0.000134      -0.236604         -0.000105
7.810000     -0.218689     -0.218689      0.000460      -0.218351         -0.000338
7.910000     -0.201851     -0.201851      0.000221      -0.201700         -0.000151
8.010000     -0.186018     -0.186018     -0.000791      -0.186516          0.000497
8.110000     -0.171844     -0.171844     -0.001442      -0.172686          0.000842
8.210000     -0.160241     -0.160241      0.000236      -0.160113         -0.000128
8.310000     -0.150696     -0.150696      0.003993      -0.148680         -0.002016
8.410000     -0.140245     -0.140245      0.004316      -0.138214         -0.002031
8.510000     -0.126017     -0.126017     -0.005746      -0.128533          0.002515
8.610000     -0.111310     -0.111310     -0.020189      -0.119543          0.008233
8.710000     -0.107795     -0.107795     -0.009128      -0.111256          0.003461
8.810000     -0.122427     -0.122427      0.053299      -0.103681         -0.018746
8.910000     -0.131366     -0.131366      0.106360      -0.096759         -0.034607
9.010000     -0.078430     -0.078430     -0.039899      -0.090400          0.011970
9.110000      0.045077      0.045077     -0.470218      -0.084519          0.129596
9.210000      0.062394      0.062394     -0.561058      -0.079049          0.141443
9.310000     -0.342864     -0.342864      1.172069      -0.073929         -0.268935
9.410000     -1.022841     -1.022841      4.593460      -0.069145         -0.953696
9.510000     -0.426646     -0.426646      1.939859      -0.064736         -0.361910
9.610000      3.601177      3.601177    -22.027041      -0.060728          3.661905
9.710000      7.791979      7.791979    -53.531618      -0.057060          7.849039
9.810000     -5.403790     -5.403790     41.908033      -0.053636         -5.350154
